text	postUrl	commentTimeStamp	postCaption	postTimeStamp	model	Media type	isComment	Source
We love coffee 😉	https://www.instagram.com/p/C4eAmHaNrqj	2024-03-14T08:20:13.000Z	"Troughback: Arte & Caffe, Capsule &Design. La macchina per il caffè ha rivelato la sua anima pop con la collaborazione tra Lavazza e Toiletpaper, progetto editoriale di Maurizio Cattelan e del fotografo Pierpaolo Ferrari. 
‘Lavazza Tiny dreamed by Toiletpaper - Lipsticks Edition’, al fuorisalone 2018, ha portato un tocco di arte e ironia nel temporary bar, con le potenti grafiche ToiletPaper a contrasto di uno sfondo con geometria semplice stile foglio di carta millimetrata.

#lavazza #lavazzatiny #sopopsotiny #macchinacapsule #milanodesignweek #lavazzaamodomio #beverfood #milanodesignweek #design #ocs #coffeemachine #macchinacapsule #ocscoffee #lavazzadesign #capsulecaffe #beverfood #fuorisalone #lavazzatinydreamedbytoiletpaper #toiletpaper #toiletpapermagazine #mauriziocattelan #pierpaoloferrari #lipstickedition"	13/03/2024 22:05:58	tinyeco	Instagram	True	instagram.com
Send me pic on 👉 @europ__capture	https://www.instagram.com/p/CmYvBupI3GO	2022-12-20T10:33:11.000Z	"È arrivata la nuova Macchina Espresso Lavazza Tiny Eco A Modo Mio!

Tiny Eco è la prima macchina realizzata con plastica riciclata per una scelta responsabile per l’ambiente con un packaging al 100% in cartone riciclato e dal basso consumo energetico 

Piccola, compatta e dallo stile pop nel suo piccolo contiene tutta l’eccellenza Lavazza 

#perugia_selfcaffè #perugia #umbria #umbria_illife #umbriacuoreverde #volgoumbria #coffee #caffe #caffégioia #lavazza #borbone #italia #italy #coffebreak #coffeetime #igersumbria #picoftheday #breakfast #visitumbria #yallersumbria #caffè #food #travel #coffeelover #espresso #instacoffee"	20/12/2022 11:31:09	tinyeco	Instagram	True	instagram.com
Amazing profile Chek your dm 📩	https://www.instagram.com/p/CmYvBupI3GO	2022-12-20T10:31:51.000Z	"È arrivata la nuova Macchina Espresso Lavazza Tiny Eco A Modo Mio!

Tiny Eco è la prima macchina realizzata con plastica riciclata per una scelta responsabile per l’ambiente con un packaging al 100% in cartone riciclato e dal basso consumo energetico 

Piccola, compatta e dallo stile pop nel suo piccolo contiene tutta l’eccellenza Lavazza 

#perugia_selfcaffè #perugia #umbria #umbria_illife #umbriacuoreverde #volgoumbria #coffee #caffe #caffégioia #lavazza #borbone #italia #italy #coffebreak #coffeetime #igersumbria #picoftheday #breakfast #visitumbria #yallersumbria #caffè #food #travel #coffeelover #espresso #instacoffee"	20/12/2022 11:31:09	tinyeco	Instagram	True	instagram.com
E top	https://www.instagram.com/p/CqKXw4jI2uy	2023-03-26T00:09:47.000Z	"Macchina per Caffè Tiny Eco Rossa con 64 Capsule Qualità Rossa Incluse
IN OFFERTA CON IL 19% DI SCONTO 

https://amzn.to/42FFfhx
#scontiscontisconti #scontionline #ScontiYesWeCan #sconti #offerteamazon #onlineshop #scontiamazon #scontiyeswecan #onlineshopping #offerte #cialdecaffe #caffetteria #cialde #caffeespresso #caffe #capsule #espressoitaliano #caffeitaliano #cialdecompatibili #caffetime #espresso #lavazza #lavazzaamodomio #LavazzaCoffee"	24/03/2023 07:44:06	tinyeco	Instagram	True	instagram.com
👏	https://www.instagram.com/p/CqKXw4jI2uy	2023-03-24T14:22:54.000Z	"Macchina per Caffè Tiny Eco Rossa con 64 Capsule Qualità Rossa Incluse
IN OFFERTA CON IL 19% DI SCONTO 

https://amzn.to/42FFfhx
#scontiscontisconti #scontionline #ScontiYesWeCan #sconti #offerteamazon #onlineshop #scontiamazon #scontiyeswecan #onlineshopping #offerte #cialdecaffe #caffetteria #cialde #caffeespresso #caffe #capsule #espressoitaliano #caffeitaliano #cialdecompatibili #caffetime #espresso #lavazza #lavazzaamodomio #LavazzaCoffee"	24/03/2023 07:44:06	tinyeco	Instagram	True	instagram.com
#espresso #coffee #lavazza #lavazzacoffee☕ #lavazzacoffee☕ #lavazzaamodomio #lavazzaespresso #coffeeholic #coffeelover #lebanon #lebanese #beirut #italy #italian	https://www.instagram.com/p/CryJTUDq8Ev	2023-05-03T13:59:46.000Z	"A MODO MIO TINY

Espresso on the inside, cheerfulness on the outside. That's what the espresso machine Tiny by Lavazza is.

It will bring life to your coffee corner. 

With it in the house, every espresso is a good opportunity to be among friends. #lavazza"	03/05/2023 15:58:43	tinyeco	Instagram	True	instagram.com
Price ?	https://www.instagram.com/p/CryJTUDq8Ev	2023-10-30T06:40:52.000Z	"A MODO MIO TINY

Espresso on the inside, cheerfulness on the outside. That's what the espresso machine Tiny by Lavazza is.

It will bring life to your coffee corner. 

With it in the house, every espresso is a good opportunity to be among friends. #lavazza"	03/05/2023 15:58:43	tinyeco	Instagram	True	instagram.com
😍😍😋😋🤎🤎☕☕🤍🤍🤩🤩	https://www.instagram.com/reel/Crvz_WspzKu	2023-05-06T14:23:07.000Z	"Iced Cinnamon Dolce Latte  
I knew not to froth my cold foam in the tiny espresso shot glass  anyways!

What I used 
- 2 starbucks blonde espresso pods
- 1 - 2 tsps of Cinnamon Dolce syrup (Jordan’s skinny syrups)
- creamer
- heavy whipping cream
- ice

Cold Foam:
- 1/3  cup of heavy cream
- 1-2 tbsp creamer or milk
- 1/2 tsp cinnamon dolce syrup 

Recipe  
1. Brew your espresso shots and add both your syrup and espresso to your drinking glass. Mix together well.
2. Next, add your ice and then milk (or creamer) to your coffee. Add your milk/creamer if preferred. 
3. Froth your heavy cream, creamer or milk, and syrup until you have a thick consistency.
4. Add frothed milk to your drinking glass and enjoy! 
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
#thecoffeegirly #pinterest #pinterestinspired #coffee #coffeelover #coffeeaddict #coffeegram #coffeebar #nespressovertuo #icedcoffee #icedcoffeelovers #morning #morningroutine #morningcoffee #vlog #dailyvlog #icedcoffeelovers #nespresso #vertuonext #icedcoffeerecipes #coffeeaesthetic"	02/05/2023 18:16:47	tinyeco	Instagram	True	instagram.com
@nikkibarts	https://www.instagram.com/reel/Crvz_WspzKu	2023-05-02T18:56:53.000Z	"Iced Cinnamon Dolce Latte  
I knew not to froth my cold foam in the tiny espresso shot glass  anyways!

What I used 
- 2 starbucks blonde espresso pods
- 1 - 2 tsps of Cinnamon Dolce syrup (Jordan’s skinny syrups)
- creamer
- heavy whipping cream
- ice

Cold Foam:
- 1/3  cup of heavy cream
- 1-2 tbsp creamer or milk
- 1/2 tsp cinnamon dolce syrup 

Recipe  
1. Brew your espresso shots and add both your syrup and espresso to your drinking glass. Mix together well.
2. Next, add your ice and then milk (or creamer) to your coffee. Add your milk/creamer if preferred. 
3. Froth your heavy cream, creamer or milk, and syrup until you have a thick consistency.
4. Add frothed milk to your drinking glass and enjoy! 
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
#thecoffeegirly #pinterest #pinterestinspired #coffee #coffeelover #coffeeaddict #coffeegram #coffeebar #nespressovertuo #icedcoffee #icedcoffeelovers #morning #morningroutine #morningcoffee #vlog #dailyvlog #icedcoffeelovers #nespresso #vertuonext #icedcoffeerecipes #coffeeaesthetic"	02/05/2023 18:16:47	tinyeco	Instagram	True	instagram.com
😍😍😍	https://www.instagram.com/reel/Cr9vl0BBmjl	2023-05-10T15:22:54.000Z	"#darkaesthetic with #nespresso to start your day 
.
I dont think that tiny #espresso mug gonna failed you 

.
.
.
.
.
.
#homeinterior
#homedecor 
#homecafe
#bohodecor 
#cafecorner 
#depok24jam 
#cafeteller
#coffeebreak
#proudofyourlocalcoffeeshop
#masfotokopi
#coffeetomotodidepok"	08/05/2023 04:06:40	tinyeco	Instagram	True	instagram.com
