text	postUrl	commentTimestamp
Io ho la Nespresso 😍	https://www.instagram.com/p/C-xLo81giI_/	2024-08-17T11:49:32.000Z
😍	https://www.instagram.com/p/Coajt-FM0fQ/	2023-02-09T19:25:05.000Z
😍😍	https://www.instagram.com/p/Cefuq_GpA6d/	2022-11-10T10:04:16.000Z
Hi does this machine take capsules that make a large coffee or just espresso size?	https://www.instagram.com/p/Cefuq_GpA6d/	2022-10-10T21:13:17.000Z
😍	https://www.instagram.com/p/Cefuq_GpA6d/	2022-06-29T06:19:17.000Z
Omg I’m obsessed 😍😍	https://www.instagram.com/p/Cefuq_GpA6d/	2022-06-29T03:55:21.000Z
🤎🤍🤎🤍 so smooth, so creamy and a delight to clean, not to mention looks divine! Ticks every box we’d say! X	https://www.instagram.com/p/Cefuq_GpA6d/	2022-06-07T07:38:20.000Z
Happy gotcha day sweet Pearl! 💕😻💖	https://www.instagram.com/p/CffgbZZJFXn/	2022-07-02T16:37:24.000Z
Happy Gotcha Day sweetie! 😻💖	https://www.instagram.com/p/CffgbZZJFXn/	2022-07-02T02:13:14.000Z
Happy gotcha day! Let’s be furriends! 😻	https://www.instagram.com/p/CffgbZZJFXn/	2022-07-02T02:06:13.000Z
Send pic @magazine_of_australia	https://www.instagram.com/p/CffgbZZJFXn/	2022-07-02T01:59:26.000Z
Wow 😻 send pic on @cat_world_magazine__	https://www.instagram.com/p/CffgbZZJFXn/	2022-07-02T01:58:58.000Z
💛💛💛	https://www.instagram.com/p/CgTlgW6sC7g/	2022-07-22T07:24:03.000Z
#coffee #coffeelover #coffeeaddict #coffeemachine #smeg #espressomachine #espresso #caffe #italiancoffee #coffeetime #coffeelovers #coffeegram #coffeelife #coffeelifestyle #coffeeporn #coffeemachineporn #luxury	https://www.instagram.com/p/ChTp69-lf7i/	2022-08-16T09:46:12.000Z
#coffeelovers #coffeemachines #fathersdaygifts #lavazzaamodomio #lavazzacoffee #lavazzadeséa #smallappliances #capsulecoffee	https://www.instagram.com/p/ChTp69-lf7i/	2022-08-16T04:37:22.000Z
😍😍😍😍😍😍	https://www.instagram.com/p/Crxz14yMFdH/	2023-05-10T19:22:29.000Z
👏👏	https://www.instagram.com/p/CrxmHbqM2zM/	2023-05-11T02:16:50.000Z
👏🏻👏🏾👏🏿	https://www.instagram.com/p/CrxVQF3sX-8/	2023-05-03T06:31:32.000Z
😍😍😍	https://www.instagram.com/p/CrxVQF3sX-8/	2023-05-10T10:45:54.000Z
Send pic 👉@COFFEE_LOVERS.__	https://www.instagram.com/p/CwsPFk2ofo2/	2023-09-02T13:34:11.000Z
That Lavazza coffee ☕️ tho 👏❤️❤️	https://www.instagram.com/p/C0oyVRYo9VY/	2023-12-09T23:16:12.000Z
